gene,gene_number,cpath,cost,x,y,z,cc,cc_size
St13,220,"[7127, 9160, 11942, 13432]",0.20908633345029587,114.12034617235322,1890.6711916725985,0.0,1,11
Ybx1,263,"[13625, 16733, 21893, 24052]",0.6215071261625094,113.44104342987433,1891.119331751769,0.0,1,11
negative_control,299,"[6, 7923, 10905, 16128]",0.7908913186001763,110.84326089073176,1889.9903364297716,0.0,1,11
Msn,112,"[5598, 7267, 19024, 23060]",3.259667320212863,111.70756611303173,1890.3866980889736,0.0,1,11
Rarg,179,"[11, 4496, 16538, 22858]",1.426748644280165,114.98124159937882,1918.554848161501,0.0,2,1
Khdrbs1,73,"[13, 15343, 19604, 23071]",0.16219296613223952,117.60340067343562,1892.8331637676986,0.0,3,1
Eif4b,37,"[1586, 7278, 10755, 17128]",1.2635471034264893,118.61292544928614,1866.1996099623652,0.0,4,3
Spp1,214,"[18, 10922, 11844, 14141]",1.9566010468972412,119.05712261443277,1867.66637418289,0.0,4,3
Spp1,214,"[19, 10921, 11846, 14142]",1.698509141943406,119.15014621211765,1862.082401026997,0.0,5,2
Ubxn1,253,"[5631, 7010, 12791, 17668]",0.7286925334649264,122.84865181753344,1858.749454536899,0.0,6,4
Idh3g,66,"[5361, 9169, 11848, 24062]",0.8897456094613564,124.54225126471803,1858.13921514884,0.0,6,4
Tpm4,239,"[29, 3266, 19281, 20798]",1.627227194940009,127.45444819803126,1903.9593670815832,0.0,7,1
Ltbp3,80,"[39, 3666, 16762, 21725]",1.888594921188313,134.99609828890877,1865.7225437532156,0.0,8,3
Ywhaq,267,"[11398, 13466, 19790, 24074]",2.95923983261733,135.72663698721277,1865.3468651932494,0.0,8,3
Khdrbs1,73,"[45, 15378, 19631, 23136]",3.352462365744416,139.28957099823864,1906.2462245147758,0.0,9,1
Spp1,214,"[46, 10974, 11861, 14190]",1.9772964206384254,141.4954968039205,1877.1897800499582,0.0,10,1
Prrx1,159,"[284, 9562, 13692, 18719]",1.8112496681601633,140.1821923782755,1888.8237310109062,0.0,11,4
Arpc5,8,"[48, 17180, 21212, 23137]",2.1472027139524505,140.62678108001705,1888.44957242441,0.0,11,4
Spp1,214,"[50, 10972, 11859, 14188]",2.700059097513954,141.3558650869801,1872.8240980049595,0.0,12,1
Tpm4,239,"[55, 3319, 19291, 20857]",2.328651451852833,145.7568519035524,1849.9720616768384,0.0,13,1
Rpsa,197,"[307, 4216, 20859, 22577]",1.4385075577790776,145.9031812312276,1902.3273405080756,0.0,14,3
Spp1,214,"[57, 10981, 11865, 14199]",0.7169513427304667,146.26835885709738,1875.8767862091795,0.0,15,2
Ltbp3,80,"[58, 3732, 16781, 21741]",3.1411315216678792,147.69803739245438,1889.548027538991,0.0,16,1
negative_control,1618,"[64, 5111, 14578, 23611]",2.8911287667315366,152.46911560384015,1820.6288258730879,0.0,17,1
negative_control,1618,"[75, 5132, 14609, 23623]",1.4591480303581277,159.11562355034218,1801.037223184985,0.0,18,2
Rcc2,183,"[4646, 9204, 12240, 20400]",0.892464812976105,166.1251345908637,1819.0039073545172,0.0,19,13
Ywhag,265,"[665, 6112, 10344, 17239]",1.1821142866159464,165.70405083453528,1819.4055852165015,0.0,19,13
Trp53,242,"[15418, 19300, 22038, 23870]",1.366198032101946,164.72971179349503,1818.285354751314,0.0,19,13
Eif3a,32,"[1680, 4267, 19667, 24105]",1.846256030922561,164.6358189427867,1817.9564107137949,0.0,19,13
negative_control,842,"[3368, 11017, 14010, 20903]",2.803936518045552,165.18061094491466,1817.6221955398014,0.0,19,13
Vim,261,"[9628, 15135, 16247, 21255]",0.6803334192449225,164.80992484860536,1836.7993001841214,0.0,20,3
Tubb5,246,"[2955, 14009, 17238, 22041]",3.205674758901642,165.2389891764942,1836.9350038248344,0.0,20,3
Spp1,214,"[85, 11025, 11879, 14243]",0.3890723943438537,168.66505025433287,1851.745229426529,0.0,21,1
Ppm1g,150,"[86, 5792, 13310, 17520]",3.4487821648704475,171.31493832263996,1819.106429722312,0.0,22,1
Tpm4,239,"[87, 3392, 19306, 20930]",1.6713058373232688,173.4568906517192,1907.9148710857778,0.0,23,1
Zfp36l1,269,"[88, 3820, 11444, 15935]",2.5469511560749925,172.3595722135207,1825.48227620283,0.0,24,1
Tpm4,239,"[89, 3391, 19304, 20925]",3.561485188473138,172.8737556612786,1800.7903205205716,0.0,25,1
Trp53,242,"[15436, 19307, 22067, 23885]",0.7861912269048332,174.81594933436526,1795.8739366696445,0.0,26,2
Spp1,214,"[91, 11035, 11882, 14253]",3.8989920889476104,173.74637052869963,1846.9946810589038,0.0,27,1
Rarg,179,"[96, 4668, 16620, 22946]",3.2820100913469794,176.69183263013667,1811.7843736485088,0.0,28,1
Mta1,113,"[12688, 15170, 17270, 23232]",1.0473619908905158,179.42547243144895,1843.3681550434935,0.0,29,4
Spp1,214,"[97, 11042, 11887, 14260]",1.7034412619744375,179.28672312496838,1842.0395956928292,0.0,29,4
Efemp1,29,"[2003, 10688, 19155, 22951]",2.2492075915854155,180.1321952476447,1928.2944558150837,0.0,30,3
Psmd2,163,"[414, 7767, 12257, 23900]",3.1513191816234465,179.7713676253721,1927.4840102261583,0.0,30,3
Malat1,83,"[2507, 3887, 10413, 14726]",0.7706736867772389,186.15941082043827,1916.5233139584539,0.0,31,6
Eif4b,37,"[1719, 7469, 10829, 17287]",1.699508571172508,186.83154160890416,1915.8930936633278,0.0,31,6
negative_control,805,"[2022, 5831, 13132, 23245]",3.5531288433418666,185.37660522787291,1915.1899475042678,0.0,31,6
Rarg,179,"[110, 4700, 16636, 22963]",2.805794991967144,187.77959351121444,1898.9519071306393,0.0,32,1
Khdrbs1,73,"[112, 15460, 19698, 23255]",1.522728285379909,188.25057548167038,1827.8957537940764,0.0,33,6
Ptbp1,167,"[3905, 7788, 11894, 18090]",1.9391561864447897,189.2990334698454,1827.5328836694177,0.0,33,6
Tpi1,237,"[1727, 16870, 20645, 23920]",1.762409160990311,189.97632753581914,1911.5379014112632,0.0,34,17
Uba1,250,"[13146, 15693, 22118, 22279]",2.017114489926943,192.01562653970058,1912.0141898121492,0.0,34,17
Malat1,83,"[2530, 3906, 10428, 14754]",2.102199472211324,190.50731158501083,1911.701098151662,0.0,34,17
Rpsa,197,"[441, 4334, 20968, 22640]",2.2368007687688674,189.35720679922304,1910.7710556399174,0.0,34,17
Snx5,212,"[3431, 8758, 18092, 20071]",2.2375517190582155,189.8296438323743,1911.3079797319913,0.0,34,17
negative_control,1145,"[1479, 12518, 13557, 21800]",3.7113000853090794,191.28016727808557,1911.4252844005314,0.0,34,17
Vim,261,"[9683, 15189, 16286, 21301]",0.5510507857980579,186.84449220257997,1925.6660577934495,0.0,35,19
Cct5,10,"[7795, 15986, 16477, 19319]",1.1279606819676087,191.36644568880374,1925.8437852235716,0.0,35,19
negative_control,1023,"[5206, 6669, 14752, 16877]",1.6626203403012276,191.11732383021857,1924.2708494367482,0.0,35,19
Vim,261,"[9689, 15200, 16296, 21307]",1.7726369342122914,191.107702117452,1925.6207555916574,0.0,35,19
Ckap4,14,"[3912, 8069, 10430, 22120]",3.0391676228096127,191.58276467572554,1924.0492431258913,0.0,35,19
Tmed9,231,"[12276, 15465, 17560, 24142]",3.1969778928985617,191.845341633393,1925.397912433446,0.0,35,19
Rab34,172,"[689, 9033, 20640, 22639]",3.492859796574248,188.62691034688956,1925.9923571190175,0.0,35,19
Spp1,214,"[121, 11076, 11900, 14290]",1.1123409631049483,194.5323646268834,1816.8627409641695,0.0,36,1
Spp1,214,"[122, 11074, 11899, 14287]",1.8391952947776107,194.24218625346046,1919.3403355137007,0.0,37,3
Khdrbs1,73,"[130, 15479, 19712, 23296]",2.007052744588956,198.87311494504115,1821.372615119201,0.0,38,1
Spp1,214,"[131, 11084, 11902, 14298]",1.8326209888054295,198.76173018921702,1914.7531469062583,0.0,39,1
Cops7a,17,"[134, 8573, 15482, 20665]",1.0073051466290697,201.5031119590302,1841.3460484238178,0.0,40,1
Msn,112,"[5892, 7519, 19205, 23314]",0.9887419676091879,204.3889899667336,1910.2504341097997,0.0,41,2
Khdrbs1,73,"[143, 15496, 19724, 23320]",1.4579085292099572,207.23108663932896,1887.9626602367266,0.0,42,4
negative_control,1160,"[4765, 10072, 13830, 17078]",3.145347581825252,207.89993182442757,1888.7579478802572,0.0,42,4
Paics,137,"[6721, 11505, 14079, 17594]",1.4201168270575228,210.12151350632854,1833.705354913981,0.0,43,15
Ndufs8,123,"[6713, 12724, 20121, 24163]",1.716165681750109,208.07062806121584,1833.1363128092146,0.0,43,15
negative_control,1274,"[3481, 8588, 9434, 20685]",2.1542353663251363,209.3430794833934,1833.4265051274435,0.0,43,15
Ppm1g,150,"[146, 5905, 13371, 17590]",2.447003619976851,207.6230796051295,1834.894969440066,0.0,43,15
negative_control,1720,"[3112, 13367, 16490, 22281]",3.8428270252518146,207.14718950756935,1833.6460857103652,0.0,43,15
negative_control,664,"[6184, 9727, 13832, 22163]",3.9342236245939417,207.86523331604212,1834.3430678482696,0.0,43,15
Khdrbs1,73,"[150, 15502, 19730, 23336]",0.5982000183503484,212.12498974074043,1820.4386537686614,0.0,44,1
Ncl,121,"[3491, 6730, 21639, 23342]",1.723432303722798,214.86245348064216,1831.823371754761,0.0,45,2
Rpsa,197,"[533, 4420, 21059, 22689]",0.35432719691103115,218.8541115278145,1835.475830910277,0.0,46,18
Mta1,113,"[12740, 15272, 17360, 23353]",1.080151758200072,217.97105281121614,1834.7434633040712,0.0,46,18
Msn,112,"[5943, 7557, 19233, 23357]",2.0864748581442054,220.2054174288301,1836.512140567982,0.0,46,18
Zyx,271,"[5539, 9097, 18555, 20447]",2.3446605356913093,218.46599699856378,1834.013231007963,0.0,46,18
Mtap,114,"[1782, 10096, 17904, 20143]",2.411179470474422,219.20976363581414,1836.1438221647072,0.0,46,18
Ubxn1,253,"[5939, 7106, 12954, 17746]",3.1509893449367383,218.24567771148338,1837.7238578371225,0.0,46,18
negative_control,1889,"[161, 6428, 10876, 15518]",2.773126415124359,223.3775943025792,1849.975405659888,0.0,47,4
Sat1,200,"[4432, 8338, 18569, 21072]",3.413532643374064,224.49277020582304,1849.18218911761,0.0,47,4
Ppm1g,150,"[164, 5953, 13388, 17626]",1.5052819031362956,223.74715367296116,1903.7630361469232,0.0,48,16
negative_control,361,"[6208, 11715, 14347, 21384]",1.6884553247417131,223.44206759612058,1903.7552334242032,0.0,48,16
negative_control,1767,"[7566, 10540, 20715, 24187]",1.7158951235266324,224.45090065389888,1903.111625831145,0.0,48,16
Ptbp1,167,"[4030, 7872, 11921, 18170]",1.8803904758308634,223.3613266657299,1902.602997918947,0.0,48,16
negative_control,403,"[1789, 3511, 15284, 16358]",2.168422905894487,223.22919485002163,1903.8956611273377,0.0,48,16
negative_control,975,"[5545, 8820, 16683, 22698]",3.0125588028478063,224.04185029610093,1904.3395125254326,0.0,48,16
Tpm4,239,"[165, 3514, 19354, 21075]",2.4800887219566983,225.02915756093353,1894.6804585327395,0.0,49,1
Ppm1g,150,"[171, 5984, 13402, 17642]",0.35843012471713476,235.2895265340877,1887.0330312722292,0.0,50,5
Zyx,271,"[5563, 9129, 18579, 20465]",2.4326403500391316,233.52732681350253,1886.8501997071214,0.0,50,5
Khdrbs1,73,"[173, 15538, 19759, 23398]",1.98192296380991,235.76220015981414,1841.420044788051,0.0,51,2
Vim,261,"[9788, 15316, 16382, 21413]",1.4539803254210957,237.458537728547,1904.8625512989927,0.0,52,30
negative_control,438,"[5568, 16102, 17103, 23040]",1.7168750065919114,237.08043642116894,1904.9249548659013,0.0,52,30
