hyb,x,y,s,w
1,767.6640345,1463.643113,1.22,633.1395744
1,759.4128892,1534.174293,1.22,1118.988852
1,757.458352,1501.220889,1.22,866.50592
1,808.817002,1400.841371,1.22,1292.366721
1,804.6876868,1448.158149,1.22,1734.9938
1,780.9771241,1431.665681,1.22,1134.655916
1,825.8589661,1463.146662,1.22,1102.478265
1,811.7411612,1429.864088,1.22,1063.917759
1,826.6695638,1459.291546,1.161056283,982.9707278
1,777.5950441,1444.530039,1.22,874.0788017
1,784.2860969,1438.783282,1.186285332,669.5885267
1,789.1179279,1465.032706,1.22,644.6455688
1,818.0696339,1412.132007,1.22,602.8136928
1,818.7642717,1508.17997,1.22,1263.323211
1,826.7568059,1508.374793,1.22,1162.078285
1,795.2918104,1522.686606,1.22,1155.65035
1,783.7473185,1494.317603,1.22,937.5272673
1,808.6779854,1509.558865,1.22,768.6853612
1,786.4276054,1515.392924,1.22,746.4828784
1,793.4577513,1515.229404,1.22,689.4228248
1,773.7425573,1494.542151,1.22,659.0495507
1,817.6161037,1529.580471,1.22,607.1001945
1,775.5781947,1518.791806,1.22,653.5617952
1,820.4223249,1544.588183,1.22,1426.17192
1,859.9772974,1406.200205,1.22,1267.103849
1,839.3833547,1403.603919,1.22,1040.469119
1,853.5598446,1403.887987,1.22,682.0066742
1,884.5651645,1447.736242,1.22,2239.96221
1,876.3560636,1442.121905,1.22,2049.539847
1,871.4442311,1451.189137,1.22,1728.189577
1,851.0363276,1418.005998,1.22,1412.282711
1,857.1725271,1449.739835,1.22,1432.276803
1,865.8522636,1421.888393,1.22,1382.838346
1,881.0969255,1438.456727,1.22,1076.338351
1,883.7265527,1444.766562,1.090345485,1124.946557
1,865.9773961,1428.280744,1.22,806.9654195
1,883.5935738,1423.076486,1.22,788.1899718
1,852.8880581,1466.924938,1.22,824.0013821
1,873.5752816,1463.64846,1.22,755.2771495
1,885.1312157,1450.194277,0.912993796,862.3312925
1,854.5958952,1442.592259,1.22,679.7828885
1,875.9812078,1447.505665,1.22,643.0239994
1,843.0444723,1503.810778,1.134489809,2159.826902
1,894.0299712,1483.19785,1.22,1956.449529
1,861.468009,1505.964389,1.1858569,1931.328042
1,842.9949062,1512.485636,1.22,771.410151
1,858.270321,1500.659075,1.22,693.1021741
1,869.0850049,1519.285028,1.22,654.5135291
1,907.5335812,1469.62074,1.22,1222.328364
1,907.9519285,1461.345952,1.22,919.0154016
1,944.0794194,1459.138953,1.22,753.2833311
1,934.2382441,1452.075793,1.22,647.9229839
1,957.3121871,1446.832568,1.22,689.8244909
1,956.7495263,1463.802017,1.22,612.1355885
1,950.225579,1483.542538,1.22,2185.130899
1,941.7594531,1489.621223,1.22,835.1867992
1,915.1711071,1501.188725,1.22,739.8015139
1,915.574476,1482.365922,1.22,752.7353527
1,983.0545623,1468.841711,1.22,944.0718499
1,1016.479042,1462.323472,1.22,940.6887096
1,1018.486759,1468.945855,1.22,823.0458394
1,1007.577668,1470.725497,1.22,839.1045298
1,988.0740107,1455.769244,1.22,671.5855456
1,1002.243051,1480.837906,1.22,1865.944447
1,990.4664231,1499.371341,1.22,966.3056522
1,1005.207226,1481.276767,0.998715549,975.1751377
1,995.8139833,1518.571444,1.22,838.7649869
1,1012.448668,1525.830701,1.22,677.8789495
1,999.4884977,1495.017769,1.22,692.2661732
1,813.7401523,1415.359213,1.22,2078.750981
1,818.0909016,1475.139134,1.22,1479.560156
1,796.293683,1472.82257,1.22,1201.388509
1,776.2299547,1476.868989,1.22,890.9127301
1,832.4655396,1499.978453,1.22,789.5231945
1,795.018206,1542.530054,1.22,1160.683748
1,782.9802912,1542.075321,1.22,772.6760484
1,895.8763584,1440.178222,1.143675398,1088.495513
1,837.433568,1492.051166,1.22,1010.241925
1,843.2741974,1538.889755,1.22,621.0343826
1,975.6450934,1475.626911,1.22,722.7842716
1,1000.427643,1538.241321,1.099746344,1620.98478
1,1008.753508,1475.879388,1.22,1149.764499
1,1029.870846,1490.044051,1.22,996.1859259
2,758.4772045,1453.685015,1.22,1030.662686
2,757.3711684,1470.149553,1.22,892.6980627
2,754.2649949,1471.937227,1.22,675.4813174
2,753.7170431,1487.83849,1.22,1380.48709
2,761.4059353,1480.950194,1.22,909.2293127
2,752.9045573,1500.532047,1.22,700.2799833
2,772.5817796,1535.719821,1.22,784.9861256
2,752.8160721,1511.892118,1.22,606.7163588
2,765.2665926,1519.08169,1.22,611.2441972
2,808.0640199,1399.842061,1.080197593,664.5805525
2,817.2499484,1394.72162,0.87,760.4091881
2,824.571785,1457.861222,1.22,1641.075143
2,793.3704284,1436.030616,1.22,1648.410901
2,804.6301528,1451.496005,1.22,1509.841938
2,829.4074995,1419.568064,1.22,1272.386844
