gene_name,gene_number,cpath,cost,x,y,z,cc,cc_size
Higd1a,3,"[4000, 4203, 8632, 16480]",3.515941378319249,990.2753670405014,1517.46945188,0.0,1499,1
Srrm1,4,"[1133, 7101, 9168, 15521]",7.593676625999132,764.5209695859412,1474.0419663522393,0.0,115,3
Srrm1,4,"[1020, 7057, 9256, 15609]",3.639432111602975,873.0837452767194,1535.5688198787225,0.0,462,1
Srrm1,4,"[1177, 7120, 9365, 15689]",9.563716344138903,882.5676966664055,1479.0566298308454,0.0,515,1
Srrm1,4,"[1180, 7119, 9368, 15691]",0.8055255671740664,869.3787108982222,1540.3811704893053,0.0,516,1
Csnk2a1,6,"[3270, 8042, 10346, 13832]",7.628698170608289,832.7340885596857,1511.7105003953902,0.0,671,2
Wbp11,7,"[3862, 7010, 9228, 14463]",2.56402416457475,777.5840733672903,1569.5011365213213,0.0,1453,1
Wbp11,7,"[3914, 7043, 9255, 14481]",0.4026443919667698,869.7873664340642,1497.3324652267436,0.0,1473,1
Mat2a,8,"[2617, 4133, 9242, 14607]",4.553223547923616,880.6359901295436,1450.583407878207,0.0,1022,3
Mat2a,8,"[2628, 4144, 9247, 14601]",5.664361473658021,842.3168171066951,1441.0470794089026,0.0,1066,2
Mat2a,8,"[2638, 4151, 9267, 14621]",10.768328535015218,846.4142581791356,1493.3091401420845,0.0,1071,1
Mat2a,8,"[2716, 4235, 9362, 14716]",0.5189831998394062,898.7727954741147,1451.2995170871752,0.0,1101,1
Tanc2,9,"[744, 4359, 9263, 13188]",3.1558673534085226,893.2155815210083,1483.377683629367,0.0,26,10
Tanc2,9,"[775, 4394, 9276, 13062]",9.716802255966495,931.2593376684389,1471.3088346234392,0.0,363,1
Tanc2,9,"[781, 4406, 9306, 13088]",3.028116675393051,925.5555964315934,1495.8161525561532,0.0,366,1
Scn3b,11,"[3544, 6989, 9212, 14312]",6.687554762602151,775.6436513883777,1496.2385658527637,0.0,705,19
Acp1,12,"[1134, 7106, 11619, 13384]",10.247957283667334,767.4645810863765,1464.2723600117893,0.0,1,5
Mast3,14,"[3882, 8137, 11643, 13000]",5.133436398809076,838.3836685438996,1425.6330644766144,0.0,1458,1
Otub1,19,"[4045, 7382, 8882, 15301]",10.369743699089375,833.5469559691463,1430.2472715875815,0.0,668,3
Otub1,19,"[3879, 7422, 8793, 15236]",15.511055976188713,846.5996982310471,1446.056864811467,0.0,727,7
Otub1,19,"[3888, 7420, 8795, 15229]",14.714153429813186,884.7795338508133,1437.8177702094472,0.0,1461,1
Otub1,19,"[3898, 7508, 8906, 15299]",8.477861528258545,850.3480213943808,1415.6903933403464,0.0,1464,1
Otub1,19,"[4048, 7514, 8916, 15303]",3.1350562704709493,835.6059886041503,1515.457394363209,0.0,1512,1
Rangap1,21,"[1835, 4449, 12413, 14699]",1.5244115230146524,830.5640222498673,1514.497735201479,0.0,297,5
Rangap1,21,"[1670, 4295, 12220, 14561]",15.643009860910665,810.4571578473816,1529.2803147940406,0.0,298,13
Rangap1,21,"[1631, 4443, 12406, 14549]",4.223071468385237,791.0317593205702,1472.9602558888996,0.0,697,1
Rangap1,21,"[1669, 4305, 12241, 14568]",14.107477735047901,806.0000354073679,1525.3976877201267,0.0,711,1
Uba1,24,"[1795, 6128, 12114, 16471]",12.068331857865449,987.6226790542044,1457.131461720538,0.0,39,8
Uba1,24,"[1746, 6078, 12080, 16423]",4.4152342040917425,874.7735927775293,1526.8128817597399,0.0,217,6
Uba1,24,"[1626, 5994, 12018, 16322]",4.842378464260717,794.3393844299849,1444.8152513765765,0.0,425,3
Uba1,24,"[1623, 5995, 12005, 16314]",4.130457034143511,774.9382919228296,1439.9321231058702,0.0,691,1
Uba1,24,"[1629, 5999, 12022, 16330]",10.308605505581097,808.6164315286163,1470.808941702095,0.0,695,1
Uba1,24,"[1640, 6002, 12006, 16315]",15.890045414078056,797.1085665494379,1452.776381978532,0.0,699,1
Uba1,24,"[1664, 6016, 12040, 16339]",2.758600435219397,817.1914056183786,1497.816304636875,0.0,707,1
Uba1,24,"[1668, 6024, 12038, 16340]",1.4466003292581795,802.141382487378,1514.1929447746643,0.0,710,1
Uba1,24,"[1706, 6052, 12060, 16385]",7.219076785221251,852.4748586297573,1398.409035764732,0.0,723,1
Uba1,24,"[1751, 6080, 12078, 16421]",8.348661004538375,859.1124982682417,1515.5217664884271,0.0,736,4
Uba1,24,"[1762, 6088, 12081, 16427]",9.46562841022928,837.7433858466952,1535.018862928663,0.0,738,1
Uba1,24,"[1765, 6099, 12093, 16435]",1.088876117042623,918.1795266848536,1444.9360711350898,0.0,740,1
Uba1,24,"[1766, 6102, 12092, 16433]",7.659263555541307,949.1937068743026,1468.4303485198989,0.0,741,1
Uba1,24,"[1808, 6146, 12123, 16478]",1.159232239120714,1006.329791133934,1506.591607129673,0.0,754,1
Uba1,24,"[1829, 6162, 12141, 16501]",13.351261678645466,770.6375081290587,1460.7172455096625,0.0,761,4
Uba1,24,"[1842, 6186, 12139, 16515]",9.081417778097109,768.4210027158288,1567.718307707079,0.0,768,1
Uba1,24,"[1852, 6198, 12154, 16523]",4.532854754288149,836.0206260173021,1495.5556391669725,0.0,772,1
Ash1l,27,"[213, 5666, 9323, 13814]",9.549859959027675,1016.1189397933966,1468.696085349539,0.0,109,2
Ash1l,27,"[216, 5663, 9310, 13811]",7.080614262491658,997.8054028488615,1466.8197775511876,0.0,111,1
Mphosph8,28,"[761, 8378, 10294, 15630]",10.351928577334927,952.5297517992178,1462.2522783112115,0.0,356,4
Nucks1,29,"[1151, 6604, 10959, 13830]",8.068561373858346,829.8643194498004,1498.9243732468703,0.0,505,1
Npepps,35,"[1278, 7433, 9875, 15608]",3.0662355929396723,886.7953075745157,1527.7839709294299,0.0,467,3
Npepps,35,"[1231, 7398, 9826, 15560]",8.4972574983975,779.7241921211601,1530.6665707327797,0.0,539,7
Npepps,35,"[1253, 7402, 9846, 15580]",4.106742578805438,783.5707520009436,1564.844994057622,0.0,550,1
Npepps,35,"[1362, 7507, 9938, 15683]",8.11220073866835,897.9746370404891,1456.2744449236616,0.0,586,2
Ddx3x,36,"[2438, 4872, 8718, 15538]",10.295777278662873,783.4615904896652,1436.4873656194186,0.0,1005,3
Ddx3x,36,"[2473, 4922, 8770, 15579]",1.3180769126342948,791.242775276722,1566.451122409363,0.0,1018,1
Sipa1l1,39,"[3525, 6964, 12003, 15190]",15.75508200611476,788.743535597156,1471.1569944347912,0.0,1359,1
Sipa1l1,39,"[3594, 7026, 12064, 15234]",19.133288274894642,878.4165330752312,1438.4675310511639,0.0,1382,1
Napa,40,"[698, 5796, 9642, 14119]",3.8763623777919074,823.3379207953129,1555.1358423388344,0.0,317,1
Napa,40,"[834, 5940, 9620, 14097]",4.279100674068634,780.655436275315,1537.3699155191352,0.0,389,5
Napa,40,"[850, 5953, 9776, 14258]",8.175207708022047,895.2212775039114,1424.7728136815624,0.0,396,1
Pfkl,41,"[2371, 4191, 11243, 16238]",2.8750990317777583,992.4751027281338,1443.2664110422097,0.0,987,1
Dctn2,43,"[2932, 6025, 8728, 13261]",4.339730156954587,808.8429032230742,1528.9860573165633,0.0,298,13
Dctn2,43,"[2979, 6085, 8812, 13322]",7.4597219186484285,866.0646330874598,1486.800115686547,0.0,1184,1
Dnajc5,45,"[600, 5457, 9909, 13420]",19.87353356931226,1012.7095256753084,1473.589321333492,0.0,140,5
Dnajc5,45,"[464, 5419, 9881, 13327]",1.0833484586614996,862.3551939173542,1561.1436197824646,0.0,219,1
Macf1,46,"[1461, 8138, 11533, 14611]",5.804109484264615,842.4455647189659,1435.454287354067,0.0,630,1
Macf1,46,"[1518, 8188, 11648, 14650]",4.77421627613341,941.6221001711592,1483.5607596766424,0.0,658,1
Kif5a,49,"[1382, 6952, 9380, 15704]",16.148201922133843,989.9476039132583,1476.845394980262,0.0,524,6
Stx12,51,"[2752, 7145, 10419, 16313]",6.780302616012138,797.4220367252061,1435.8381900628285,0.0,1113,2
Myo9a,55,"[694, 5579, 8531, 14766]",15.84734678105966,804.5355731284412,1555.1793624425102,0.0,316,1
Pten,63,"[100, 6241, 9983, 13442]",1.3127092078311828,809.8829774597962,1419.019746489126,0.0,61,4
Rbfox2,66,"[2257, 4255, 11281, 16119]",6.456212335581303,802.8133745265595,1404.5356164638292,0.0,948,1
Rbfox2,66,"[2260, 4263, 11300, 16126]",2.1855320023249747,827.4251762385882,1453.3093612588914,0.0,950,1
Wac,70,"[3231, 8400, 9094, 15272]",18.285745614533678,990.5596746834735,1438.3577263199004,0.0,1271,1
Scamp1,71,"[3826, 5557, 9416, 12959]",5.667621679521931,795.1962989660473,1503.0197239815054,0.0,299,3
Prrc2b,72,"[96, 8072, 11476, 13436]",1.7688450183494715,793.2120067387434,1436.2316204616286,0.0,59,1
Prrc2b,72,"[97, 8069, 11477, 13438]",2.653224002892137,804.3464016146875,1451.5313815546092,0.0,60,16
Prrc2b,72,"[184, 8157, 11554, 13548]",10.94886152220792,878.3842621532424,1492.0246089227965,0.0,95,1
Prrc2b,72,"[203, 8184, 11581, 13583]",5.518143330394531,951.7140081740425,1487.9055948709902,0.0,105,1
Prrc2b,72,"[243, 8225, 11473, 13640]",10.675618581347747,763.3791275811561,1539.1849089318075,0.0,117,1
Prrc2b,72,"[247, 8229, 11632, 13645]",14.667220570291278,771.6440046680452,1435.1981665132228,0.0,119,1
Prrc2b,72,"[255, 8236, 11638, 13482]",3.7667318203116475,773.5224136801139,1487.0247770217502,0.0,122,1
Ccdc32,79,"[3187, 7640, 9681, 14168]",3.1440006672532967,882.4872733044065,1513.1585241453113,0.0,352,3
Cdk14,80,"[864, 4667, 11265, 15307]",6.424565484639707,932.9329070774929,1477.1535303609546,0.0,406,1
Tpr,81,"[2475, 7407, 9849, 12772]",1.7572313086045306,883.664157534773,1406.7834235851585,0.0,1019,1
Tpr,81,"[2555, 7503, 9935, 12773]",2.722560354822074,837.0266952847749,1404.5038220190029,0.0,1043,1
Tpr,81,"[2558, 7511, 9936, 12896]",2.5812443982473514,842.9909733130631,1478.0873898057157,0.0,1044,6
Pum1,82,"[1409, 6235, 8717, 15719]",8.190630308717223,791.0346558295688,1432.2029442971073,0.0,603,1
Pum1,82,"[1471, 6301, 8799, 15785]",7.919118565549664,868.0755611460239,1451.5585767155567,0.0,638,1
Camsap2,83,"[1234, 4511, 12228, 14445]",7.263334912836605,809.1931352122456,1509.9169955908178,0.0,12,2
Camsap2,83,"[1238, 4510, 12229, 14446]",3.284254681695735,775.9956428461237,1511.8212319261884,0.0,543,1
R3hdm4,84,"[922, 4878, 10411, 12487]",18.645431074986796,781.4036807568502,1453.940011403138,0.0,64,13
R3hdm4,84,"[1059, 4978, 10571, 12605]",2.3985148289730285,918.8522136011793,1452.2406716750002,0.0,100,3
R3hdm4,84,"[974, 4921, 10500, 12533]",3.472921841026645,802.5816881119767,1559.1299734514278,0.0,449,1
R3hdm4,84,"[1023, 4957, 10547, 12581]",4.231864409836982,852.2017816310314,1527.3433812073938,0.0,463,1
R3hdm4,84,"[1196, 5068, 10594, 12705]",7.077679857672489,988.8392541930505,1474.477547895178,0.0,524,6
Naa15,86,"[294, 6426, 10215, 13713]",5.641105587388566,823.947694235851,1463.001698339705,0.0,147,1
Dlgap4,87,"[2653, 4771, 12100, 16225]",7.561749678148874,936.4759924227894,1471.6114138728863,0.0,746,10
Dlgap4,87,"[2712, 4739, 12150, 16275]",1.290234740578099,856.0324989532546,1416.6596565558011,0.0,879,4
Dlgap4,87,"[2577, 4692, 12004, 16123]",12.929844614534991,812.2614918151935,1463.2780164032656,0.0,1050,1
Dlgap4,87,"[2624, 4751, 12066, 16179]",5.922888084490723,858.5867710649864,1446.2938065168883,0.0,1065,1
Cttn,90,"[113, 6460, 11495, 15928]",4.5407003154711445,810.3605779180245,1532.379915841551,0.0,66,1
Cttn,90,"[190, 6537, 11570, 16015]",0.7926832470561613,907.1380310202406,1448.4414421064303,0.0,98,1
Cttn,90,"[282, 6639, 11595, 16110]",12.38323889657762,1013.9126436673512,1475.43889034576,0.0,140,5
Dzip3,91,"[1988, 6428, 10949, 14546]",2.8474325362966484,801.7437835164192,1460.7617394017009,0.0,839,2
Ankrd17,98,"[1280, 6771, 11376, 13537]",4.178561782788346,872.9540779261583,1497.4396578170958,0.0,564,1
Glg1,100,"[2956, 4334, 12276, 15970]",4.074300912497086,888.2662490055893,1434.298003604248,0.0,1171,1
Glg1,100,"[2980, 4367, 12312, 15995]",14.116940774124153,870.812863106109,1526.400117232693,0.0,1185,1
Glg1,100,"[2985, 4384, 12342, 16013]",13.090314775961206,925.0633965178315,1422.3877943467205,0.0,1189,1
Glg1,100,"[2987, 4391, 12337, 16014]",12.028287724129944,954.6079177871047,1447.7247593834322,0.0,1190,4
Glg1,100,"[2988, 4389, 12349, 16028]",11.176817356478352,917.312623175426,1430.4506854656224,0.0,1191,1
Glg1,100,"[2989, 4387, 12330, 16022]",11.618703568419336,910.8978646258654,1419.3356735692932,0.0,1192,2
Glg1,100,"[3047, 4460, 12424, 16094]",2.3420088572863405,894.1614755209,1425.827651780507,0.0,1213,1
Glg1,100,"[3048, 4476, 12426, 16096]",13.310133361387301,895.2460891861728,1476.0291159259605,0.0,1214,1
Glg1,100,"[3052, 4469, 12439, 16105]",6.253301409617691,941.9725902905964,1476.9636681828874,0.0,1216,1
Ubxn4,102,"[934, 6690, 9425, 15214]",6.95929515613377,825.1233009464997,1498.3268870091072,0.0,432,3
Ubxn4,102,"[964, 6695, 9421, 15215]",14.523901723776396,805.2862201492503,1498.379545667978,0.0,443,3
Ubxn4,102,"[996, 6745, 9460, 15226]",13.372268321704182,879.6169962361485,1446.8539222793606,0.0,456,2
Dync1li2,104,"[1432, 4897, 10229, 13262]",3.761875706986997,819.9250968810229,1522.5755891697343,0.0,619,1
Dync1li2,104,"[1447, 4930, 10253, 13295]",3.7786066821711577,872.7709441499779,1397.009345165672,0.0,624,1
Dync1li2,104,"[1517, 4995, 10305, 13347]",9.674617242556433,922.5178338667723,1484.9512847208111,0.0,657,1
Hnrnph2,105,"[1697, 5791, 10172, 14460]",0.8231547007219628,797.4407933044452,1547.4518139275324,0.0,720,1
Hnrnph2,105,"[1758, 5846, 10068, 14484]",15.452225413907142,849.4730800482641,1506.579259816899,0.0,737,1
Hnrnph2,105,"[1816, 5920, 10154, 14517]",3.4045859820476387,1034.6012894932019,1490.4348518049687,0.0,757,1
Pdia6,106,"[1216, 4486, 10694, 16122]",6.277601365734061,775.9402653414631,1443.9983154798765,0.0,288,6
Pdia6,106,"[1350, 4646, 10708, 16137]",5.406424455802197,788.9852472422582,1473.010293166534,0.0,386,10
Pdia6,106,"[1303, 4601, 10813, 16217]",4.772790264008213,919.8581145197317,1456.5886937324442,0.0,574,1
Pdia6,106,"[1376, 4661, 10809, 16288]",4.221023858637063,946.979752963947,1474.730314993188,0.0,591,1
Pam,108,"[5, 5526, 10418, 16133]",2.7575606569217976,804.5202523649893,1448.235552196886,0.0,3,1
Pam,108,"[71, 5700, 10413, 16259]",1.937836228472563,818.1097011152594,1475.1573126871194,0.0,46,1
Atp1a1,110,"[1882, 4076, 11159, 15723]",9.716708026873864,792.855479250956,1456.713399303035,0.0,784,2
Wdr7,111,"[1426, 6031, 10717, 13897]",7.725482873674391,818.9258093805279,1531.479914354843,0.0,614,1
Prkaca,124,"[2981, 5615, 10081, 15621]",13.687010070843922,846.6439359424273,1511.3102703267173,0.0,801,2
Prkaca,124,"[2963, 5590, 10055, 15596]",1.480076185345774,852.9413689314863,1420.545178778116,0.0,1177,2
Prkaca,124,"[2976, 5610, 10070, 15606]",1.494041072995032,877.3385406226251,1528.6778040690976,0.0,1182,1
Prkaca,124,"[2982, 5625, 10073, 15616]",15.920969247435792,854.958990859833,1524.3481380347525,0.0,1186,1
Prkaca,124,"[2994, 5639, 10084, 15626]",9.575760907423586,943.9748155724851,1437.851181879832,0.0,1195,1
Prkaca,124,"[3063, 5725, 10197, 15701]",16.1873112423024,991.991163525812,1479.2755285787132,0.0,1221,1
Ist1,129,"[2755, 4258, 8473, 15544]",8.362720268249895,805.9969679076883,1450.4887520016212,0.0,60,16
Nr3c1,130,"[3972, 6836, 11237, 16227]",3.8276582531429266,938.9772486847019,1486.825684376246,0.0,1492,1
Sec23a,131,"[3288, 8036, 9146, 14839]",11.215757712869822,855.3897804360784,1413.339588060885,0.0,510,2
Sec23a,131,"[3188, 7893, 9040, 14800]",7.012770364097284,861.1634207165192,1512.9858071542085,0.0,1257,1
Sec23a,131,"[3244, 7975, 9104, 14823]",6.872266692971696,968.5726886275506,1491.2560488542804,0.0,1275,1
Sltm,133,"[2620, 6504, 8538, 13525]",12.987811560253656,854.4758482139146,1443.7317299833107,0.0,726,3
Sltm,133,"[2694, 6592, 8459, 13631]",5.315808377551262,758.869066383929,1473.4410382426481,0.0,1091,1
Sltm,133,"[2701, 6595, 8642, 13637]",12.178394851071738,767.3360692777364,1480.8258006638873,0.0,1096,1
Sltm,133,"[2720, 6626, 8666, 13679]",17.85572530765347,875.8794594535417,1539.9950348656737,0.0,1102,1
Nmt2,141,"[1725, 6062, 12272, 16274]",9.114782040284227,862.1079637342548,1417.5302384433855,0.0,159,2
Nmt2,141,"[1764, 6098, 12329, 16209]",0.8072576138452312,931.3315062627589,1449.3317565626903,0.0,739,1
Mprip,143,"[4033, 5945, 9355, 13663]",4.380744756574023,788.3136990899031,1543.1536831814442,0.0,73,11
Mprip,143,"[3825, 5759, 9202, 13464]",2.640895262247756,811.5302043951266,1521.1036066187735,0.0,1445,1
Mprip,143,"[3830, 5763, 9207, 13467]",4.646863623662572,780.8619085327948,1493.81281728446,0.0,1446,1
Mprip,143,"[3877, 5815, 9236, 13513]",1.5657601927459184,851.2419570053196,1439.8861557196317,0.0,1455,1
Mprip,143,"[3911, 5842, 9254, 13540]",2.956000972575752,847.3272784864632,1520.1772229232863,0.0,1470,1
Mprip,143,"[3967, 5966, 9303, 13581]",1.7444689826092963,956.0250395023646,1485.7026854799315,0.0,1489,1
Mprip,143,"[4018, 5932, 9346, 13647]",5.832177073652151,796.1143618731604,1475.3401550741755,0.0,1502,1
Mprip,143,"[4023, 5938, 9205, 13652]",4.640357913000734,811.394407610852,1537.1584114322445,0.0,1505,1
Mprip,143,"[4047, 5950, 9243, 13669]",2.2221388583299406,846.9304630428098,1473.521410782355,0.0,1511,1
Mprip,143,"[4049, 5961, 9262, 13559]",16.315106754336593,860.4722452514045,1537.344217234035,0.0,1513,1
Brd4,145,"[2010, 6672, 12026, 13456]",17.17628083587727,815.939311039818,1430.837158048293,0.0,848,1
Brd4,145,"[2016, 6687, 12043, 13478]",2.42676947620138,804.5728849863885,1506.6974354863664,0.0,852,1
Brd4,145,"[2144, 6832, 12105, 13584]",1.7628826404696993,914.3881860423285,1481.8694316234637,0.0,909,1
Brd4,145,"[2204, 6903, 12140, 13646]",19.346247903499332,804.7067939592803,1476.0150473579145,0.0,929,1
Rab18,147,"[2400, 7305, 10166, 16269]",2.3695162587674234,804.5127761207158,1477.1397089102175,0.0,993,1
Glyr1,150,"[3721, 8234, 10896, 14008]",13.589429925006835,770.7220540528311,1460.9833046309698,0.0,761,4
Glyr1,150,"[3752, 8245, 10914, 14027]",0.9791423250607842,843.392238418112,1477.6560796142944,0.0,1044,6
Glyr1,150,"[3590, 8131, 10756, 13929]",1.4905543199584217,839.5068735575833,1429.7581608247197,0.0,1380,1
Glyr1,150,"[3680, 8198, 10864, 13991]",19.836601038075564,1018.9338313195931,1463.5569592348436,0.0,1405,1
Glyr1,150,"[3728, 8095, 10733, 13892]",5.893194564349862,784.480160006367,1536.4569773750356,0.0,1412,2
Tef,153,"[466, 8371, 10810, 15045]",6.026351394950932,935.5234114416536,1450.9795036504775,0.0,221,1
Fyttd1,154,"[8, 6238, 11485, 15535]",3.9024329938749056,811.7497141753232,1429.5569026223798,0.0,5,1
Cab39,156,"[3771, 5896, 9088, 13691]",11.492385745445418,999.6194495973248,1472.2506841761196,0.0,267,2
Cab39,156,"[3701, 5910, 9108, 13613]",15.813922664251129,1007.1752065283648,1502.1012089533679,0.0,922,8
Gas7,157,"[156, 5165, 8791, 13763]",2.761381398648413,839.3605983931114,1421.4945535714019,0.0,82,1
Gps1,163,"[1404, 4496, 10432, 12470]",19.79006482203242,787.2990916736119,1420.809387395651,0.0,602,1
Gps1,163,"[1410, 4503, 10429, 12483]",9.793973413129606,810.2168257686443,1439.5884725575604,0.0,604,1
Gps1,163,"[1417, 4506, 10449, 12500]",1.9238449176513213,804.6844070601787,1484.2292140339491,0.0,606,1
Gps1,163,"[1420, 4507, 10450, 12494]",9.160367560886048,782.1275822119112,1535.0658585466483,0.0,608,4
Gps1,163,"[1427, 4512, 10476, 12514]",7.933086589025259,792.243090649138,1516.6674122751983,0.0,615,4
Gps1,163,"[1563, 4644, 10614, 12668]",19.307011944213244,770.396558293844,1444.2286459444797,0.0,667,3
Gps1,163,"[1566, 4648, 10626, 12671]",8.177753975775751,774.8243848240709,1476.8653268213488,0.0,669,1
Por,164,"[2086, 4135, 9858, 13515]",17.778659324673473,876.5632535249341,1448.1059031541754,0.0,881,1
Sec14l1,170,"[1642, 8289, 10953, 15724]",7.480756601242134,814.1934165321429,1440.5384507728088,0.0,700,3
Sec14l1,170,"[1748, 8357, 11002, 15788]",2.86601267829381,873.1360328745583,1513.7075986455764,0.0,734,1
Sec14l1,170,"[1770, 8370, 11023, 15810]",1.5925885760407872,915.2158903867809,1458.5154866818157,0.0,743,1
Sec14l1,170,"[1832, 8424, 11056, 15856]",14.227886614675938,803.033962402367,1412.1182011799574,0.0,759,2
